ConceptId,PrimaryCode
92561000000109,C
92571000000102,A
92581000000100,G
92591000000103,G
92601000000109,S
92611000000106,S
92621000000100,G
92631000000103,G
92641000000107,L
92651000000105,L
92661000000108,L
92671000000101,L
92681000000104,L
92691000000102,L
92701000000102,L
92711000000100,N
92721000000106,G
92731000000108,N
92741000000104,P
92751000000101,L
92761000000103,L
92771000000105,L
92781000000107,L
92791000000109,A
93921000000101,C
93931000000104,C
93941000000108,C
93951000000106,S
93961000000109,C
93981000000100,C
93991000000103,C
94001000000108,C
94011000000105,C
94021000000104,C
94031000000102,C
94041000000106,C
94051000000109,C
94061000000107,N
94071000000100,S
94081000000103,S
94091000000101,S
94101000000109,S
94111000000106,S
94121000000100,L
94131000000103,S
94141000000107,L
94151000000105,S
1024701000000100,Z
107691000000105,M
110401000000103,S
110751000000108,H
110761000000106,A
110771000000104,G
110781000000102,L
110791000000100,P
110831000000107,L
494131000000105,A
494141000000101,A
494151000000103,A
494161000000100,B
494171000000107,B
494181000000109,B
86461000000107,L
88911000000101,T
88921000000107,T
88931000000109,T
88941000000100,C
88951000000102,C
88961000000104,C
88971000000106,C
88981000000108,C
88991000000105,S
89001000000105,W
89011000000107,S
89021000000101,S
89031000000104,S
92391000000108,A
92401000000106,B
92411000000108,C
92421000000102,D
92431000000100,E
92441000000109,F
92451000000107,G
92461000000105,J
92471000000103,K
92481000000101,L
92491000000104,N
92501000000105,P
92511000000107,R
92521000000101,S
92531000000104,Z
92541000000108,A
92551000000106,A
976631000000101,A
976641000000105,A
976651000000108,B
976661000000106,B
976671000000104,T
976681000000102,T
976691000000100,C
976701000000100,C
976711000000103,D
976721000000109,D
976731000000106,E
976741000000102,E
976751000000104,F
976761000000101,F
976771000000108,G
976781000000105,G
976791000000107,H
976801000000106,H
976811000000108,J
976821000000102,J
976831000000100,K
976841000000109,K
976851000000107,R
976861000000105,R
976871000000103,L
976881000000101,L
976891000000104,N
976901000000103,N
976911000000101,M
976921000000107,M
976931000000109,P
976941000000100,P
976951000000102,W
976961000000104,W
976971000000106,S
976981000000108,S
977351000000100,A
977361000000102,A
977371000000109,T
977381000000106,T
977391000000108,D
977401000000106,D
977411000000108,E
977421000000102,E
977431000000100,F
977441000000109,F
977551000000106,G
977561000000109,G
977591000000103,H
977601000000109,H
977711000000100,J
977721000000106,J
977731000000108,K
977741000000104,K
977751000000101,R
977761000000103,R
977771000000105,L
977781000000107,L
977791000000109,N
977801000000108,N
977811000000105,M
977821000000104,M
977831000000102,P
977841000000106,P
977851000000109,W
977861000000107,W
977871000000100,S
977881000000103,S
977911000000103,A
977921000000109,A
977931000000106,A
977941000000102,A
